id,week,num_weeks,censor,coupon,anyp
466,20,24,0,6.07371E-11,8.82
466,21,24,0,3.103112E-22,0
466,22,24,0,0,0
466,23,24,0,0,32.2
466,24,24,1,0,33.4
467,1,24,0,0,55.61
467,2,24,0,0,55.82
467,3,24,0,0.0180370411,55.65
467,4,24,0,0.1262592877,81.17
467,5,24,0,0.078697419,74.45
467,6,24,0,0.044160582,73.82
467,7,24,0,0.0214475487,46.83
467,8,24,0,0.0084743074,0
467,9,24,0,0.0024570064,72.41
467,10,24,0,0.015465007,71.52
467,11,24,0,0.1052483182,89.32
467,12,24,0,0.0655816056,56.05
467,13,24,0,0.0368004851,12.58
467,14,24,0,0.0178729572,13.33
467,15,24,0,0.0070619229,43.31
467,16,24,0,0.0020475053,41.46
467,17,24,0,0.0003617828,41.95
467,18,24,0,0.0000268709,44.47
467,19,24,0,0.00000035264646,22.9
467,20,24,0,6.07371E-11,8.82
467,21,24,0,3.103112E-22,0
467,22,24,0,0,0
467,23,24,0,0,32.2
467,24,24,1,0,33.4
468,1,24,0,0,55.61
468,2,24,0,0,55.82
468,3,24,0,0.0180370411,55.65
468,4,24,0,0.1262592877,81.17
468,5,24,0,0.078697419,74.45
468,6,24,0,0.044160582,73.82
468,7,24,0,0.0214475487,46.83
468,8,24,0,0.0084743074,0
468,9,24,0,0.0024570064,72.41
468,10,24,0,0.015465007,71.52
468,11,24,0,0.1052483182,89.32
468,12,24,0,0.0655816056,56.05
468,13,24,0,0.0368004851,12.58
468,14,24,0,0.0178729572,13.33
468,15,24,0,0.0070619229,43.31
468,16,24,0,0.0020475053,41.46
468,17,24,0,0.0003617828,41.95
468,18,24,0,0.0000268709,44.47
468,19,24,0,0.00000035264646,22.9
468,20,24,0,6.07371E-11,8.82
468,21,24,0,3.103112E-22,0
468,22,24,0,0,0
468,23,24,0,0,32.2
468,24,24,1,0,33.4
469,1,24,0,0,55.61
469,2,24,0,0,55.82
469,3,24,0,0.0180370411,55.65
